date,units_sold
2024-07-08,276
2024-07-09,246
2024-07-10,263
2024-07-11,226
2024-07-12,241
2024-07-13,248
2024-07-14,289
2024-07-15,276
2024-07-16,300
2024-07-17,251
2024-07-18,238
2024-07-19,238
2024-07-20,254
2024-07-21,297
2024-07-22,309
2024-07-23,311
2024-07-24,274
2024-07-25,227
2024-07-26,225
2024-07-27,293
2024-07-28,294
2024-07-29,332
2024-07-30,310
2024-07-31,260
2024-08-01,229
2024-08-02,242
2024-08-03,271
2024-08-04,312
2024-08-05,296
2024-08-06,296
2024-08-07,273
2024-08-08,275
2024-08-09,202
2024-08-10,278
2024-08-11,295
2024-08-12,331
2024-08-13,302
2024-08-14,285
2024-08-15,278
2024-08-16,254
2024-08-17,281
2024-08-18,315
2024-08-19,312
2024-08-20,323
2024-08-21,277
2024-08-22,238
2024-08-23,249
2024-08-24,271
2024-08-25,324
2024-08-26,327
2024-08-27,306
2024-08-28,309
2024-08-29,272
2024-08-30,274
2024-08-31,288
2024-09-01,310
2024-09-02,322
2024-09-03,312
2024-09-04,301
2024-09-05,257
2024-09-06,226
2024-09-07,277
2024-09-08,287
2024-09-09,333
2024-09-10,295
2024-09-11,261
2024-09-12,257
2024-09-13,251
2024-09-14,248
2024-09-15,325
2024-09-16,368
2024-09-17,290
2024-09-18,316
2024-09-19,242
2024-09-20,242
2024-09-21,273
2024-09-22,285
2024-09-23,351
2024-09-24,324
2024-09-25,268
2024-09-26,248
2024-09-27,222
2024-09-28,268
2024-09-29,325
2024-09-30,295
2024-10-01,305
2024-10-02,282
2024-10-03,269
2024-10-04,271
2024-10-05,264
2024-10-06,293
2024-10-07,331
2024-10-08,439
2024-10-09,271
2024-10-10,266
2024-10-11,274
2024-10-12,273
2024-10-13,299
2024-10-14,329
2024-10-15,272
2024-10-16,272
2024-10-17,224
2024-10-18,283
2024-10-19,277
2024-10-20,301
2024-10-21,311
2024-10-22,256
2024-10-23,281
2024-10-24,268
2024-10-25,222
2024-10-26,272
2024-10-27,306
2024-10-28,282
2024-10-29,313
2024-10-30,287
2024-10-31,237
2024-11-01,229
2024-11-02,268
2024-11-03,260
2024-11-04,306
2024-11-05,310
2024-11-06,235
2024-11-07,245
2024-11-08,298
2024-11-09,211
2024-11-10,280
2024-11-11,281
2024-11-12,291
2024-11-13,230
2024-11-14,240
2024-11-15,205
2024-11-16,249
2024-11-17,265
2024-11-18,287
2024-11-19,300
2024-11-20,249
2024-11-21,208
2024-11-22,189
2024-11-23,257
2024-11-24,283
2024-11-25,280
2024-11-26,277
2024-11-27,220
2024-11-28,190
2024-11-29,190
2024-11-30,236
2024-12-01,268
2024-12-02,266
2024-12-03,279
2024-12-04,246
2024-12-05,205
2024-12-06,217
2024-12-07,218
2024-12-08,254
2024-12-09,281
2024-12-10,258
2024-12-11,239
2024-12-12,173
2024-12-13,217
2024-12-14,202
2024-12-15,247
2024-12-16,241
2024-12-17,263
2024-12-18,241
2024-12-19,208
2024-12-20,200
2024-12-21,182
2024-12-22,229
2024-12-23,251
2024-12-24,229
2024-12-25,232
2024-12-26,186
2024-12-27,178
2024-12-28,212
2024-12-29,220
2024-12-30,237
2024-12-31,224
2025-01-01,215
2025-01-02,183
2025-01-03,183
2025-01-04,217
2025-01-05,207
2025-01-06,238
2025-01-07,237
2025-01-08,176
2025-01-09,161
2025-01-10,186
2025-01-11,212
2025-01-12,245
2025-01-13,243
2025-01-14,225
2025-01-15,215
2025-01-16,159
2025-01-17,168
2025-01-18,211
2025-01-19,214
2025-01-20,227
2025-01-21,224
2025-01-22,201
2025-01-23,170
2025-01-24,161
2025-01-25,193
2025-01-26,188
2025-01-27,218
2025-01-28,223
2025-01-29,170
2025-01-30,133
2025-01-31,132
2025-02-01,162
2025-02-02,210
2025-02-03,211
2025-02-04,221
2025-02-05,214
2025-02-06,266
2025-02-07,174
2025-02-08,181
2025-02-09,190
2025-02-10,223
2025-02-11,197
2025-02-12,195
2025-02-13,131
2025-02-14,173
2025-02-15,184
2025-02-16,172
2025-02-17,239
2025-02-18,338
2025-02-19,165
2025-02-20,168
2025-02-21,115
2025-02-22,177
2025-02-23,177
2025-02-24,233
2025-02-25,179
2025-02-26,131
2025-02-27,157
2025-02-28,188
2025-03-01,161
2025-03-02,221
2025-03-03,226
2025-03-04,206
2025-03-05,189
2025-03-06,179
2025-03-07,125
2025-03-08,183
2025-03-09,213
2025-03-10,199
2025-03-11,241
2025-03-12,214
2025-03-13,286
2025-03-14,179
2025-03-15,175
2025-03-16,205
2025-03-17,253
2025-03-18,218
2025-03-19,187
2025-03-20,180
2025-03-21,173
2025-03-22,192
2025-03-23,185
2025-03-24,200
2025-03-25,236
2025-03-26,167
2025-03-27,158
2025-03-28,134
2025-03-29,175
2025-03-30,191
2025-03-31,261
2025-04-01,201
2025-04-02,185
2025-04-03,155
2025-04-04,178
2025-04-05,157
2025-04-06,217
2025-04-07,232
2025-04-08,233
2025-04-09,200
2025-04-10,155
2025-04-11,165
2025-04-12,332
2025-04-13,230
2025-04-14,238
2025-04-15,217
2025-04-16,313
2025-04-17,174
2025-04-18,207
2025-04-19,183
2025-04-20,233
2025-04-21,272
2025-04-22,196
2025-04-23,170
2025-04-24,152
2025-04-25,170
2025-04-26,242
2025-04-27,240
2025-04-28,273
2025-04-29,236
2025-04-30,163
2025-05-01,138
2025-05-02,196
2025-05-03,208
2025-05-04,216
2025-05-05,278
2025-05-06,219
2025-05-07,235
2025-05-08,213
2025-05-09,171
2025-05-10,191
2025-05-11,262
2025-05-12,245
2025-05-13,269
2025-05-14,200
2025-05-15,208
2025-05-16,194
2025-05-17,211
2025-05-18,238
2025-05-19,277
2025-05-20,227
2025-05-21,224
2025-05-22,194
2025-05-23,212
2025-05-24,203
2025-05-25,292
2025-05-26,274
2025-05-27,335
2025-05-28,261
2025-05-29,239
2025-05-30,204
2025-05-31,218
2025-06-01,269
2025-06-02,275
2025-06-03,271
2025-06-04,272
2025-06-05,224
2025-06-06,218
2025-06-07,248
2025-06-08,276
2025-06-09,463
2025-06-10,300
2025-06-11,245
2025-06-12,226
2025-06-13,266
2025-06-14,257
2025-06-15,281
2025-06-16,340
2025-06-17,292
2025-06-18,240
2025-06-19,244
2025-06-20,214
2025-06-21,248
2025-06-22,298
2025-06-23,308
2025-06-24,285
2025-06-25,257
2025-06-26,229
2025-06-27,259
2025-06-28,251
2025-06-29,289
2025-06-30,355
2025-07-01,297
2025-07-02,301
2025-07-03,270
2025-07-04,242
2025-07-05,246
2025-07-06,315
2025-07-07,337
2025-07-08,331
2025-07-09,282
2025-07-10,371
2025-07-11,277
2025-07-12,259
2025-07-13,339
2025-07-14,335
2025-07-15,310
2025-07-16,282
2025-07-17,293
2025-07-18,276
2025-07-19,252
2025-07-20,321
2025-07-21,335
2025-07-22,323
2025-07-23,284
2025-07-24,239
2025-07-25,279
2025-07-26,273
2025-07-27,318
2025-07-28,332
2025-07-29,318
2025-07-30,312
2025-07-31,277
2025-08-01,256
2025-08-02,277
2025-08-03,321
2025-08-04,365
2025-08-05,338
2025-08-06,307
2025-08-07,269
2025-08-08,268
2025-08-09,302
2025-08-10,300
2025-08-11,380
2025-08-12,325
2025-08-13,296
2025-08-14,302
2025-08-15,280
2025-08-16,303
2025-08-17,326
2025-08-18,326
2025-08-19,346
2025-08-20,331
2025-08-21,265
2025-08-22,303
2025-08-23,284
2025-08-24,326
2025-08-25,366
2025-08-26,344
2025-08-27,324
2025-08-28,270
2025-08-29,262
2025-08-30,273
2025-08-31,319
2025-09-01,339
2025-09-02,320
2025-09-03,318
2025-09-04,272
2025-09-05,246
2025-09-06,352
2025-09-07,326
2025-09-08,336
2025-09-09,369
2025-09-10,334
2025-09-11,264
2025-09-12,255
2025-09-13,289
2025-09-14,361
2025-09-15,353
2025-09-16,331
2025-09-17,312
2025-09-18,305
2025-09-19,256
2025-09-20,299
2025-09-21,315
2025-09-22,396
2025-09-23,377
2025-09-24,328
2025-09-25,280
2025-09-26,291
2025-09-27,266
2025-09-28,343
2025-09-29,331
2025-09-30,319
2025-10-01,296
2025-10-02,274
2025-10-03,287
2025-10-04,314
2025-10-05,340
2025-10-06,336
2025-10-07,448
2025-10-08,304
2025-10-09,298
2025-10-10,257
2025-10-11,249
2025-10-12,324
2025-10-13,388
2025-10-14,344
2025-10-15,299
2025-10-16,289
2025-10-17,279
2025-10-18,303
2025-10-19,319
2025-10-20,346
2025-10-21,335
2025-10-22,286
2025-10-23,248
2025-10-24,268
2025-10-25,307
2025-10-26,335
2025-10-27,349
2025-10-28,336
2025-10-29,339
2025-10-30,268
2025-10-31,279
2025-11-01,320
2025-11-02,319
2025-11-03,339
2025-11-04,340
2025-11-05,318
2025-11-06,263
2025-11-07,261
2025-11-08,280
2025-11-09,291
2025-11-10,349
2025-11-11,311
2025-11-12,251
2025-11-13,249
2025-11-14,217
2025-11-15,255
2025-11-16,307
2025-11-17,306
2025-11-18,329
2025-11-19,249
2025-11-20,250
2025-11-21,252
2025-11-22,293
2025-11-23,317
2025-11-24,321
2025-11-25,304
2025-11-26,268
2025-11-27,260
2025-11-28,224
2025-11-29,403
2025-11-30,292
2025-12-01,314
2025-12-02,292
2025-12-03,301
2025-12-04,221
2025-12-05,233
2025-12-06,258
2025-12-07,298
2025-12-08,311
2025-12-09,297
2025-12-10,273
2025-12-11,199
2025-12-12,222
2025-12-13,225
2025-12-14,284
2025-12-15,275
2025-12-16,266
2025-12-17,248
2025-12-18,245
2025-12-19,226
2025-12-20,246
2025-12-21,299
2025-12-22,273
2025-12-23,239
2025-12-24,235
2025-12-25,208
2025-12-26,232
2025-12-27,272
2025-12-28,243
2025-12-29,329
2025-12-30,299
2025-12-31,252
2026-01-01,214
2026-01-02,247
2026-01-03,229
2026-01-04,361
2026-01-05,281
2026-01-06,240
2026-01-07,239
2026-01-08,199
2026-01-09,204
2026-01-10,229
2026-01-11,237
2026-01-12,296
2026-01-13,241
2026-01-14,242
2026-01-15,167
2026-01-16,199
2026-01-17,203
2026-01-18,252
2026-01-19,256
2026-01-20,215
2026-01-21,201
2026-01-22,193
2026-01-23,199
2026-01-24,186
2026-01-25,208
2026-01-26,248
2026-01-27,247
2026-01-28,205
2026-01-29,173
2026-01-30,200
2026-01-31,227
2026-02-01,256
2026-02-02,243
2026-02-03,248
2026-02-04,210
2026-02-05,158
2026-02-06,197
2026-02-07,208
2026-02-08,231
2026-02-09,283
2026-02-10,258
2026-02-11,226
2026-02-12,203
2026-02-13,192
2026-02-14,181
2026-02-15,231
2026-02-16,273
2026-02-17,228
2026-02-18,210
2026-02-19,187
2026-02-20,203
2026-02-21,226
2026-02-22,253
2026-02-23,250
2026-02-24,258
2026-02-25,217
2026-02-26,176
2026-02-27,201
2026-02-28,210
2026-03-01,222
2026-03-02,276
2026-03-03,236
2026-03-04,218
2026-03-05,152
2026-03-06,176
2026-03-07,185
2026-03-08,219
2026-03-09,219
2026-03-10,280
2026-03-11,206
2026-03-12,184
2026-03-13,197
2026-03-14,201
2026-03-15,247
2026-03-16,231
2026-03-17,246
2026-03-18,202
2026-03-19,190
2026-03-20,182
2026-03-21,180
2026-03-22,206
2026-03-23,239
2026-03-24,258
2026-03-25,220
2026-03-26,191
2026-03-27,145
2026-03-28,159
2026-03-29,231
2026-03-30,254
2026-03-31,237
2026-04-01,222
2026-04-02,184
2026-04-03,164
2026-04-04,195
2026-04-05,249
2026-04-06,374
2026-04-07,251
2026-04-08,260
2026-04-09,187
2026-04-10,192
2026-04-11,197
2026-04-12,244
2026-04-13,278
2026-04-14,267
2026-04-15,221
2026-04-16,203
2026-04-17,195
2026-04-18,187
2026-04-19,197
2026-04-20,315
2026-04-21,277
2026-04-22,229
2026-04-23,170
2026-04-24,177
2026-04-25,251
2026-04-26,211
2026-04-27,274
2026-04-28,284
2026-04-29,238
2026-04-30,221
2026-05-01,204
2026-05-02,275
2026-05-03,249
2026-05-04,262
2026-05-05,279
2026-05-06,268
2026-05-07,214
2026-05-08,232
2026-05-09,230
2026-05-10,253
2026-05-11,318
2026-05-12,310
2026-05-13,277
2026-05-14,214
2026-05-15,199
2026-05-16,225
2026-05-17,278
2026-05-18,311
2026-05-19,298
2026-05-20,231
2026-05-21,233
2026-05-22,228
2026-05-23,255
2026-05-24,289
2026-05-25,304
2026-05-26,307
2026-05-27,267
2026-05-28,241
2026-05-29,223
2026-05-30,269
2026-05-31,295
2026-06-01,277
2026-06-02,405
2026-06-03,267
2026-06-04,261
2026-06-05,240
2026-06-06,268
2026-06-07,309
2026-06-08,323
2026-06-09,304
2026-06-10,248
2026-06-11,285
2026-06-12,222
2026-06-13,271
2026-06-14,324
2026-06-15,338
2026-06-16,330
2026-06-17,301
2026-06-18,283
2026-06-19,264
2026-06-20,337
2026-06-21,302
2026-06-22,343
2026-06-23,321
2026-06-24,285
2026-06-25,273
2026-06-26,292
2026-06-27,279
2026-06-28,315
2026-06-29,477
2026-06-30,344
2026-07-01,338
2026-07-02,293
2026-07-03,277
2026-07-04,293
2026-07-05,338
2026-07-06,350
2026-07-07,317
2026-07-08,309
2026-07-09,278
2026-07-10,275
2026-07-11,298
2026-07-12,372
2026-07-13,372
2026-07-14,365
2026-07-15,305
2026-07-16,269
2026-07-17,281
2026-07-18,317
2026-07-19,341
2026-07-20,362
2026-07-21,371
2026-07-22,327
2026-07-23,276
2026-07-24,284
2026-07-25,306
2026-07-26,356
2026-07-27,350
2026-07-28,356
2026-07-29,339
2026-07-30,299
2026-07-31,280
2026-08-01,312
2026-08-02,360
2026-08-03,512
2026-08-04,379
2026-08-05,329
2026-08-06,280
2026-08-07,327
2026-08-08,332
2026-08-09,369
2026-08-10,385
2026-08-11,349
2026-08-12,330
2026-08-13,312
2026-08-14,323
2026-08-15,332
2026-08-16,309
2026-08-17,379
2026-08-18,377
2026-08-19,362
2026-08-20,323
2026-08-21,352
2026-08-22,359
2026-08-23,392
2026-08-24,403
2026-08-25,348
2026-08-26,356
2026-08-27,323
2026-08-28,300
2026-08-29,444
2026-08-30,377
