week,spend_search_ads,spend_social_ads,spend_display_ads,spend_tv,spend_email,revenue
2025-10-05,3871.0,11277.0,11709.0,7342.0,8953.0,150719.0
2025-10-12,3874.0,6678.0,9987.0,9791.0,9271.0,148342.0
2025-10-19,4895.0,7128.0,3982.0,13070.0,9395.0,148592.0
2025-10-26,7757.0,4580.0,7547.0,4879.0,7875.0,144803.0
2025-11-02,14138.0,7295.0,12486.0,8289.0,9804.0,162478.0
2025-11-09,10493.0,8689.0,4612.0,14454.0,12289.0,172980.0
2025-11-16,11649.0,4217.0,8604.0,6995.0,11301.0,167943.0
2025-11-23,4408.0,4027.0,10405.0,10518.0,5463.0,136230.0
2025-11-30,5895.0,3988.0,7378.0,14438.0,11536.0,153784.0
2025-12-07,8205.0,13944.0,11714.0,11927.0,6116.0,148768.0
2025-12-14,10901.0,8486.0,4518.0,14181.0,11137.0,172543.0
2025-12-21,12102.0,13943.0,14149.0,9901.0,11976.0,181904.0
2025-12-28,9931.0,8892.0,11917.0,10983.0,10675.0,174277.0
2026-01-04,6549.0,9537.0,12925.0,4251.0,12014.0,169278.0
2026-01-11,5339.0,7342.0,8906.0,13290.0,7724.0,147886.0
2026-01-18,7634.0,11261.0,8078.0,7624.0,13391.0,172002.0
2026-01-25,5773.0,6628.0,6290.0,8506.0,11949.0,162567.0
2026-02-01,10353.0,10806.0,4109.0,8196.0,8180.0,155794.0
2026-02-08,11202.0,6621.0,7768.0,5915.0,5811.0,144877.0
2026-02-15,10007.0,4051.0,5658.0,11363.0,11161.0,164672.0
2026-02-22,3845.0,6354.0,10137.0,8384.0,7703.0,138479.0
2026-03-01,9118.0,2950.0,4047.0,7029.0,3897.0,125275.0
2026-03-08,2727.0,5639.0,2930.0,3804.0,5819.0,119680.0
2026-03-15,3529.0,5425.0,8449.0,8017.0,3402.0,106597.0
2026-03-22,7508.0,7557.0,9538.0,7074.0,5970.0,132127.0
2026-03-29,4600.0,9347.0,5369.0,8990.0,4184.0,121635.0
2026-04-05,7895.0,3326.0,8193.0,6145.0,3319.0,115730.0
2026-04-12,6769.0,6245.0,6969.0,4390.0,7239.0,132148.0
2026-04-19,6312.0,7589.0,7260.0,6219.0,4190.0,119362.0
2026-04-26,5959.0,6479.0,5888.0,3074.0,8231.0,136136.0
2026-05-03,7877.0,3582.0,5308.0,3542.0,6466.0,132841.0
2026-05-10,7343.0,4745.0,6067.0,5715.0,4531.0,123350.0
2026-05-17,2293.0,8006.0,7145.0,6179.0,3956.0,108641.0
2026-05-24,8418.0,5452.0,8198.0,8298.0,3031.0,112748.0
2026-05-31,4964.0,6553.0,7943.0,2405.0,4446.0,118452.0
2026-06-07,4173.0,4261.0,7077.0,8027.0,5890.0,123399.0
2026-06-14,8200.0,7675.0,8614.0,5040.0,2371.0,114952.0
2026-06-21,8807.0,6298.0,2533.0,2562.0,6371.0,133373.0
2026-06-28,8051.0,8153.0,2504.0,5317.0,3973.0,120658.0
2026-07-05,7953.0,4633.0,4439.0,7038.0,3766.0,119874.0
2026-07-12,2697.0,4438.0,2668.0,5509.0,3818.0,109652.0
2026-07-19,4977.0,4195.0,7289.0,5584.0,5082.0,116593.0
2026-07-26,9721.0,7880.0,4507.0,9750.0,7996.0,142047.0
2026-08-02,11747.0,3637.0,10678.0,6689.0,5223.0,138773.0
2026-08-09,5624.0,6218.0,3933.0,11825.0,9203.0,143647.0
2026-08-16,10388.0,9471.0,10501.0,5621.0,7883.0,149579.0
2026-08-23,4383.0,6001.0,3867.0,4240.0,6756.0,136164.0
